Card Name,Inventory Price,Market Price
Ice Age,$0.45,$1.07
Tsuru,$1.50,$1.76
DON!! Card // Tutorial App Promo,$0.05,$0.09
Borsalino,$18.18,$18.10
Kuzan (096),$7.34,$8.02
Makino,$0.44,$0.75
Gecko Moria,$0.05,$0.17
Bell-mere,$0.09,$0.17
Nami,$6.55,$7.46
Gum-Gum Rain,$1.11,$1.46
Portgas.D.Ace,$3.90,$3.89
Edward.Newgate (004),$8.95,$8.66
Impel Down All Stars,$0.12,$0.15
Paramount War - Booster Box,$154.95,$153.55
Sakazuki,$1.50,$1.75
Marco,$0.45,$0.67
Magellan (085),$1.30,$1.70
Kouzuki Oden,$0.40,$1.17
DEATH WINK,$0.08,$0.16
Mr.1 (Daz.Bonez),$0.45,$0.60
Kuzan (121),$16.70,$17.93
Buggy,$0.23,$0.49
Carrot,$0.19,$0.46
Paramount War - Booster Pack,$6.49,$5.49
Monkey.D.Luffy (062),$0.45,$0.70
Curly.Dadan,$0.18,$0.43
DON!! Card (OP-02 Exclusive),$0.95,$1.38
Jozu,$0.29,$0.51
Bartholomew Kuma,$0.05,$0.17
Emporio.Ivankov (051),$0.67,$0.78
Arabesque Brick Fist,$0.24,$0.39
Yamato,$0.40,$0.55
Uta,$3.05,$3.25
Seaquake,$0.05,$0.28
Magura,$0.07,$0.12
Koby,$0.15,$0.30
Boa Hancock,$0.10,$0.20
Hina,$0.20,$0.34
Judgment of Hell,$0.23,$0.38
Mr.2.Bon.Kurei (Bentham),$0.05,$0.22
Inazuma,$0.05,$0.18
Hannyabal,$0.10,$0.26
Monkey.D.Luffy (041),$0.04,$0.10
Smoker (102),$0.09,$0.20
Monkey.D.Garp (115),$0.09,$0.24
Sengoku,$0.10,$0.32
Tashigi,$0.05,$0.10
Tony Tony.Chopper,$0.05,$0.10
Crocodile,$0.01,$0.11
Roronoa Zoro,$0.01,$0.10
Little Sadi,$0.05,$0.26
Meteor Volcano,$0.10,$0.31
Boa Hancock (Box Topper),$3.40,$3.70
Shiki,$0.10,$0.21
Brook,$0.05,$0.10
Nekomamushi,$0.04,$0.15
Thatch,$0.01,$0.15
Mr.3 (Galdino),$0.05,$0.20
Vista,$0.09,$0.32
Uta (Alternate Art),$13.17,$11.99
Donquixote Doflamingo,$0.08,$0.17
Paradise Totsuka,$0.08,$0.23
Domino,$0.05,$0.09
Donquixote Rosinante,$0.02,$0.09
Usopp,$0.01,$0.06
Whitebeard Pirates,$0.09,$0.20
Land of Wano,$0.01,$0.05
Dogura,$0.03,$0.07
New Kama Land,$0.01,$0.08
Trafalgar Law,$0.01,$0.11
Impel Down,$0.02,$0.08
Donquixote Rosinante (Box Topper),$1.00,$1.35
Sphinx,$0.02,$0.06
Shiryu,$0.03,$0.12
Kuzan (121) (Alternate Art),$25.00,$33.72
Minokoala,$0.11,$0.16
Inuarashi,$0.05,$0.11
Kuzan (096) (Alternate Art),$30.00,$39.10
Dracule Mihawk,$0.02,$0.09
Byrnndi World,$0.02,$0.08
Edward.Newgate (001),$0.20,$0.32
Sakazuki (Alternate Art),$11.85,$12.02
Borsalino (Alternate Art),$46.00,$52.23
Three Sword Style Oni Giri,$0.01,$0.08
Minotaur,$0.10,$0.14
Kouzuki Toki (Box Topper),$0.93,$2.24
Kouzuki Toki,$0.03,$0.13
Kouzuki Oden (Alternate Art),$9.23,$10.45
Diable Jambe Venaison Shoot,$0.06,$0.10
Masked Deuce,$0.01,$0.08
Monkey.D.Garp (115) (Alternate Art),$5.88,$7.06
Magellan (085) (Alternate Art),$10.99,$11.61
Emporio.Ivankov (049),$0.10,$0.18
Yasakani Sacred Jewel,$0.01,$0.18
Shishilian,$0.01,$0.11
Monkey.D.Garp (002),$0.10,$0.23
Helmeppo,$0.05,$0.13
Dobon,$0.01,$0.03
Franky,$0.01,$0.06
Monkey.D.Luffy (041) (Alternate Art),$21.50,$26.84
Tashigi (Box Topper),$0.92,$1.32
Smoker (093),$0.15,$0.25
Masked Deuce (Alternate Art),$1.77,$2.16
Monkey.D.Luffy (062) (Alternate Art),$8.80,$10.34
Kingdew,$0.01,$0.05
Nami (Alternate Art),$20.00,$24.78
Wanda,$0.03,$0.08
Sanji,$0.12,$0.23
Venom Road,$0.01,$0.05
Hydra,$0.08,$0.13
Minokoala (Box Topper),$0.90,$1.54
Sentomaru,$0.01,$0.04
Zephyr,$0.10,$0.19
Magellan (071),$0.06,$0.19
Nico Robin,$0.01,$0.11
Onigumo,$0.03,$0.07
Blenheim,$0.01,$0.04
Jinbe,$0.01,$0.05
LittleOars Jr.,$0.01,$0.06
Buggy (Alternate Art),$16.83,$18.72
Cabaji,$0.01,$0.09
Mohji,$0.01,$0.06
Komille,$0.01,$0.04
Isuka,$0.04,$0.10
Edward.Newgate (004) (Alternate Art),$28.76,$43.05
Doberman,$0.01,$0.03
Blugori,$0.01,$0.05
Douglas Bullet,$0.05,$0.10
Kin'emon,$0.07,$0.17
Moby Dick,$0.01,$0.11
Little Sadi (Alternate Art),$6.15,$7.81
Portgas.D.Ace (Parallel),$45.94,$52.21
Squard,$0.02,$0.06
Monkey.D.Garp (002) (Alternate Art),$40.00,$46.59
Strawberry,$0.01,$0.06
Rakuyo,$0.02,$0.10
Yamakaji,$0.01,$0.04
Squard (Box Topper),$0.47,$0.86
Atmos,$0.02,$0.06
Emporio.Ivankov (051) (Alternate Art),$9.30,$13.28
Morley,$0.03,$0.07
Whitey Bay,$0.05,$0.12
Zephyr (Alternate Art),$21.00,$29.97
Paramount War - Sleeved Booster Pack,$9.49,$12.13
Jango,$0.01,$0.06
You May Be a Fool...but I Still Love You,$0.01,$0.06
Fullbody,$0.01,$0.05
Saldeath,$0.01,$0.06
Solitaire,$0.01,$0.06
Kin'emon (Alternate Art),$28.00,$37.67
Jaguar.D.Saul,$0.01,$0.05
Daifugo,$0.05,$0.07
Smoker (093) (Alternate Art),$65.00,$88.20
Revision Pack,$4.00,$5.70
Magellan (071) (Alternate Art),$33.75,$39.13
Emporio.Ivankov (049) (Alternate Art),$57.96,$66.63
Sanji (Alternate Art),$46.80,$61.27
Box Promotion Pack,$3.98,$7.88
Edward.Newgate (001) (Alternate Art),$113.98,$126.05
Marco (Alternate Art),$24.50,$35.09
Portgas.D.Ace (Parallel) (Alternate Art),$899.99,"$1,025.50"
Paramount War - Booster Box Case,"$1,699.89","$3,211.36"
