Card Name,Inventory Price,Market Price
Enies Lobby,$0.07,$0.23
Spandam,$1.25,$2.11
Kaku (080),$6.29,$6.54
Kalifa (081),$0.25,$0.81
Kaya,$0.99,$1.53
Six King Pistol,$0.04,$0.32
Issho,$3.29,$4.48
Sanji's Pilaf,$2.95,$2.99
Top Knot,$0.05,$0.14
Brannew,$0.45,$0.99
Charlotte Cracker,$3.10,$3.72
Thunder Bolt,$0.09,$0.18
Marco,$6.45,$6.35
Gum-Gum Giant Gavel,$0.07,$0.12
Usopp's Rubber Band of Doom!!!,$0.06,$0.14
Gum-Gum Jet Gatling,$0.67,$0.94
Shirahoshi,$0.18,$0.51
Charlotte Linlin (114),$1.98,$2.56
Charlotte Katakuri (123),$55.95,$58.27
Buggy (008),$0.15,$0.35
Charlotte Perospero,$0.95,$1.35
Three Thousand Worlds,$0.15,$0.48
Izo,$0.12,$0.42
Charlotte Pudding,$0.20,$0.55
Paulie,$0.69,$0.77
Sogeking,$2.75,$3.66
Zeff,$0.01,$0.29
DON!! Card (Alternate Art),$0.50,$1.15
Krieg,$0.30,$0.62
Sanji,$0.20,$0.55
Pillars of Strength - Booster Pack,$6.50,$6.64
Buzz Cut Mochi,$0.01,$0.23
Fire Fist,$0.01,$0.30
Bell-mere,$0.05,$0.21
Soap Sheep,$0.01,$0.13
Usopp,$0.50,$0.77
Rob Lucci (092),$0.25,$0.53
Nami (040),$0.25,$0.33
Kalifa (060),$0.15,$0.27
Vergo,$0.10,$0.21
Charlotte Smoothie,$0.10,$0.18
Blueno,$0.01,$0.20
Flame Emperor,$0.01,$0.22
Ikoku Sovereignty,$0.02,$0.09
Rob Lucci (071),$0.01,$0.10
Kaku (080) (Alternate Art),$32.00,$34.58
Monkey.D.Luffy,$0.01,$0.15
Tempest Kick Sky Slicer,$0.09,$0.20
Nami (030),$0.01,$0.16
Nojiko,$0.05,$0.13
Air Door,$0.05,$0.17
Boodle,$0.03,$0.14
Kokoro,$0.09,$0.10
Spandam (Alternate Art),$34.95,$33.87
Cross Fire,$0.09,$0.18
Streusen,$0.05,$0.20
Kalifa (081) (Alternate Art),$54.96,$55.28
Charlotte Linlin (114) (Alternate Art),$12.76,$12.15
Jerry,$0.01,$0.05
Charlotte Katakuri (099),$0.10,$0.24
Chew,$0.04,$0.10
Krieg (Alternate Art),$6.90,$6.42
Rob Lucci (092) (Alternate Art),$6.25,$6.36
Zambai,$0.02,$0.06
Charlotte Cracker (Alternate Art),$12.50,$15.90
Kaku (059),$0.01,$0.10
Adio,$0.01,$0.04
Lim,$0.02,$0.09
Charlotte Perospero (Alternate Art),$14.50,$16.12
Deathly Poison Gas Bomb MH5,$0.02,$0.08
Buchi,$0.02,$0.05
Fiery Doll,$0.01,$0.10
Marshall.D.Teach,$0.01,$0.09
Gin,$0.04,$0.09
Striker,$0.01,$0.10
Jango,$0.01,$0.12
Charlotte Katakuri (123) (Alternate Art),$90.95,$96.11
Camie,$0.01,$0.04
Galley-La Company,$0.03,$0.09
Charlotte Oven,$0.02,$0.05
Iceburg,$0.05,$0.11
Fukurou,$0.02,$0.15
Pillars of Strength - Sleeved Booster Pack,$10.89,$10.90
Gin (Alternate Art),$4.00,$4.23
Peepley Lulu,$0.05,$0.08
Pearl,$0.01,$0.08
Minozebra,$0.01,$0.08
Carne,$0.02,$0.06
Minorhinoceros,$0.01,$0.05
Tropical Torment,$0.01,$0.06
Charlotte Chiffon,$0.01,$0.05
Tilestone,$0.01,$0.06
Sogeking (Alternate Art),$9.87,$11.03
Charlotte Galette,$0.01,$0.05
Kuroobi,$0.04,$0.10
Paulie (Alternate Art),$7.96,$9.58
Napoleon,$0.01,$0.09
Fire Fist (Alternate Art),$12.00,$14.39
Arlong,$0.04,$0.17
Charlotte Praline,$0.01,$0.07
Hatchan,$0.04,$0.13
Shirley,$0.03,$0.08
Zeff (Alternate Art),$7.00,$10.91
Usopp (Alternate Art),$7.31,$7.45
Chimney & Gonbe,$0.01,$0.05
Momoo,$0.01,$0.04
Portgas.D.Ace,$0.06,$0.21
Charlotte Opera,$0.01,$0.06
Rob Lucci (076),$0.09,$0.17
Sham,$0.01,$0.05
Patty,$0.01,$0.06
Nero,$0.01,$0.05
Usopp's Pirate Crew,$0.01,$0.05
Buggy (032),$0.01,$0.07
Curiel,$0.01,$0.05
Jabra,$0.01,$0.10
Kiwi & Mozu,$0.01,$0.06
Gaimon,$0.01,$0.04
Haruta,$0.01,$0.07
Charlotte Linlin (077),$0.05,$0.12
Speed Jil,$0.01,$0.07
Issho (Alternate Art),$22.99,$29.80
Tooth Attack,$0.01,$0.06
Kingbaum,$0.01,$0.05
Hull Dismantler Slash,$0.01,$0.04
Wanze,$0.02,$0.05
Kumadori,$0.01,$0.08
Corgy,$0.01,$0.05
Charlotte Pudding (Alternate Art),$30.40,$38.27
Monkey.D.Garp,$0.03,$0.09
Out-of-the-Bag,$0.01,$0.07
Bobbin the Disposer,$0.01,$0.05
Namule,$0.01,$0.05
Charlotte Katakuri (099) (Alternate Art),$106.99,$112.32
"One, Two, Jango",$0.02,$0.08
Yosaku & Johnny,$0.01,$0.06
Marco (Alternate Art),$30.00,$33.57
Kaido (Wanted Poster),$38.76,$43.42
Kuro,$0.01,$0.11
Fossa,$0.01,$0.06
Thatch,$0.02,$0.05
Nami (040) (Alternate Art),$165.00,$151.05
Genzo,$0.01,$0.03
"Eustass""Captain""Kid (Wanted Poster)",$67.00,$70.35
Rob Lucci (076) (Alternate Art),$24.98,$27.30
Pillars of Strength - Booster Box,$257.76,$251.06
Iceburg (Alternate Art),$27.49,$29.23
Kuro (Alternate Art),$18.17,$19.94
Helmeppo,$0.01,$0.06
Arlong (Alternate Art),$30.00,$36.21
Blamenco,$0.01,$0.08
Merry,$0.01,$0.03
Charlotte Linlin (077) (Alternate Art),$26.37,$30.47
Alvida,$0.01,$0.04
Monkey.D.Luffy (Wanted Poster),$84.65,$95.44
Donquixote Doflamingo (Wanted Poster),$23.96,$26.28
Sogeking (Alternate Art) (Manga),$360.69,$445.30
Portgas.D.Ace (Alternate Art),$48.58,$61.85
Pillars of Strength - Booster Box Case,"$2,700.00","$2,916.57"
